,interview,task,meanpupilsize,stddevpupilsize,maxpupilsize,minpupilsize,startpupilsize,endpupilsize
221,EL-185,Reading,-0.10744885847,0.0332387082327,0.00640408942751,-0.276072254211,-0.0435219620062,-0.102644917651
222,EL-185,Memory,-0.188325778506,0.0362237769306,0.0129733067214,-0.348333644444,-0.00147897132519,-0.282641471505
223,EL-185,CookieTheft,-0.188409156706,0.0356314943354,0.0405640193559,-0.445558060394,-0.00542050170154,-0.228773889695
224,EL-185,PupilCalib,-0.000282650561113,0.0191828293792,0.027425584768,-0.185417055555,-0.0277558405008,0.0208563674741
225,EO-005,Reading,-0.270858473846,0.187122239186,0.47337413925,-0.580107115532,0.47337413925,-0.302677888294
226,EO-005,CookieTheft,-0.256232350282,0.144241090418,0.499617444529,-0.520122417751,0.312165263963,-0.328921193573
227,EO-008,EO-008_allsc,-0.0175815618999,0.0631005245887,0.33438089252,-0.331076591542,-0.126587052168,-0.0468707910568
228,EO-008,Reading,-0.0443930408074,0.0462718123106,0.133357277543,-0.299883271976,-0.0538026398492,0.0484421298375
229,EO-008,Memory,0.0607342099804,0.0654842192126,0.33438089252,-0.136984825357,-8.08117087181e-05,-0.0468707910568
230,EO-008,CookieTheft,-0.0318645566035,0.0438518603559,0.122959504355,-0.331076591542,-0.0434048666607,-0.0399389422645
231,EO-008,PupilCalib,-0.00850710747185,0.0341849610219,0.081368411601,-0.133518900961,-0.126587052168,-0.0624674508395
232,EO-011,PupilCalib,-0.00527407414073,0.057934546256,0.109782947176,-0.379555623542,-0.119190572707,-0.0139366159864
233,EO-021,EO-021_allsc,0.0799905966027,0.0989745140244,0.500295972581,-0.265812609163,-0.0879659741152,0.0716399804147
234,EO-021,Reading,0.0379390020789,0.0748728102025,0.500295972581,-0.233891418257,0.0169179388616,-0.0195634221738
235,EO-021,CookieTheft,0.0867037252525,0.0837466711808,0.38401163428,-0.179169376704,0.0647997252205,0.140042532356
236,EO-021,PupilCalib,-0.0030146132866,0.111308012867,0.431893420639,-0.265812609163,-0.0879659741152,-0.0720053786622
237,EO-026,EO-026_allsc,0.0282921743277,0.0617032034009,0.58753317257,-0.455957732996,0.0211940913442,-0.455957732996
238,EO-026,Reading,0.0196028466523,0.0664738109681,0.565236358349,-0.219611502248,-0.072452528386,0.00335663996704
239,EO-026,Memory,0.089974397674,0.0612467565857,0.230784145026,-0.455957732996,-0.00110272287726,-0.455957732996
240,EO-026,CookieTheft,0.0295768772305,0.0496389059497,0.58753317257,-0.206233413715,-0.0367776256316,0.0390315427214
241,EO-026,PupilCalib,0.00207258236232,0.0613363396454,0.230784145026,-0.179477236649,0.0211940913442,-0.056844758431
242,EO-054,EO-054_allsc,-0.00392067726706,0.0493044455241,0.348089625978,-0.219527058644,-0.0527896575365,-0.0102184061898
243,EO-054,Reading,-0.0323169888919,0.0368006754584,0.103304930735,-0.215979454365,0.000424406646859,-0.0421468446998
